latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,rightAvoidDist,leftAvoidDist,upAvoidDist,downAvoidDist,isBrakingToAvoid
55.952636,-4.403296,0.20,0.30,0.42,58.22,0.20,0.20,0.42,58.22,0,2022-10-02 10:13:10.862,2022-10-02 11:13:10.862,19,0,0,16.524,55.952637,-4.403299,0.00,0.30,-0.30,4.00,-2.50,68.60,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705590862,4288,4279,4282,4282,0,0,27,Litchi_4.24.1-g,CJTMAVIC,163DFAS001K45C,0VECFAK0072T52,0P2AFB25340AEP,,0,0,0,-40.00,-25.00,686.00,0.00,0.00,703.00,11,2.00,4.24,582.23,0.00,3.00,-3.00,0,,,80,100,0,2,0,0,0,2,2,,,,null,2.4,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403296,0.20,0.30,0.45,58.20,0.20,0.20,0.45,58.22,96,2022-10-02 10:13:10.959,2022-10-02 11:13:10.958,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705590958,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,2.00,4.47,582.00,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.4,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403296,0.20,0.30,0.45,58.20,0.20,0.20,0.45,58.22,98,2022-10-02 10:13:10.960,2022-10-02 11:13:10.960,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705590960,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,2.00,4.47,582.00,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.4,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403296,0.30,0.40,0.45,58.16,0.30,0.30,0.45,58.22,199,2022-10-02 10:13:11.062,2022-10-02 11:13:11.061,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.90,-2.70,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591061,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-39.00,-27.00,684.00,0.00,0.00,702.00,11,3.00,4.47,581.62,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403296,0.30,0.40,0.45,58.16,0.30,0.30,0.45,58.22,267,2022-10-02 10:13:11.130,2022-10-02 11:13:11.129,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.90,-2.70,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591129,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-39.00,-27.00,684.00,0.00,0.00,702.00,11,3.00,4.47,581.62,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403295,0.30,0.40,0.45,58.14,0.30,0.30,0.45,58.22,297,2022-10-02 10:13:11.159,2022-10-02 11:13:11.159,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591159,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,3.00,4.47,581.42,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403295,0.30,0.40,0.45,58.14,0.30,0.30,0.45,58.22,298,2022-10-02 10:13:11.161,2022-10-02 11:13:11.160,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591160,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,3.00,4.47,581.42,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403295,0.30,0.40,0.45,58.14,0.30,0.30,0.45,58.22,391,2022-10-02 10:13:11.253,2022-10-02 11:13:11.253,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591253,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,3.00,4.47,581.42,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952636,-4.403295,0.30,0.40,0.45,58.14,0.30,0.30,0.45,58.22,392,2022-10-02 10:13:11.254,2022-10-02 11:13:11.254,19,0,0,16.524,55.952637,-4.403299,0.00,0.20,-0.40,3.80,-2.60,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591254,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-38.00,-26.00,685.00,0.00,0.00,702.00,11,3.00,4.47,581.42,0.00,2.00,-4.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,0
55.952635,-4.403295,0.40,0.50,0.51,58.10,0.40,0.40,0.51,58.22,499,2022-10-02 10:13:11.361,2022-10-02 11:13:11.361,19,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.60,-1.50,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591361,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-36.00,-15.00,685.00,0.00,0.00,701.00,11,4.00,5.10,581.02,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,1
55.952635,-4.403295,0.40,0.50,0.51,58.10,0.40,0.40,0.51,58.22,501,2022-10-02 10:13:11.364,2022-10-02 11:13:11.363,19,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.60,-1.50,68.50,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591363,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-36.00,-15.00,685.00,0.00,0.00,701.00,11,4.00,5.10,581.02,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,1
55.952635,-4.403294,0.50,0.60,0.51,58.07,0.50,0.50,0.51,58.22,600,2022-10-02 10:13:11.462,2022-10-02 11:13:11.462,20,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.50,-1.50,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591462,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-35.00,-15.00,684.00,0.00,0.00,701.00,11,5.00,5.10,580.70,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,1
55.952635,-4.403294,0.50,0.60,0.51,58.07,0.50,0.50,0.51,58.22,602,2022-10-02 10:13:11.464,2022-10-02 11:13:11.464,20,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.50,-1.50,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591464,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-35.00,-15.00,684.00,0.00,0.00,701.00,11,5.00,5.10,580.70,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.3,0.0,0.0,0.0,0.0,0.0,1
55.952635,-4.403294,0.50,0.60,0.51,58.06,0.50,0.50,0.51,58.22,696,2022-10-02 10:13:11.558,2022-10-02 11:13:11.558,20,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.30,-1.40,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591558,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-33.00,-14.00,684.00,0.00,0.00,701.00,11,5.00,5.10,580.55,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.2,0.0,0.0,0.0,0.0,0.0,1
55.952635,-4.403294,0.50,0.60,0.51,58.06,0.50,0.50,0.51,58.22,700,2022-10-02 10:13:11.562,2022-10-02 11:13:11.562,20,0,0,16.524,55.952637,-4.403299,0.00,0.10,-0.50,3.30,-1.40,68.40,0,1,0,98,100,-4190,3402,16524,2917.50,9,TakeOff,1,0,0,0,0,0,0,1664705591562,4288,4279,4282,4282,0,0,27,,,,,,,0,0,0,-33.00,-14.00,684.00,0.00,0.00,701.00,11,5.00,5.10,580.55,0.00,1.00,-5.00,0,,,80,100,0,2,0,0,0,2,2,,,,,2.2,0.0,0.0,0.0,0.0,0.0,1
