Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1767,1139,-1,-1,11250319
1,2,1767,1139,0,0,11250319
1,3,1764,1136,0.547,0.002,4539181
1,4,1764,1136,0,0,6118715
1,5,1761,1118,2.354,0.008,8946297
1,6,1761,1106,1.548,0.005,4536885
1,7,1761,1094,1.548,0.005,4409896
1,8,1761,1066,3.612,0.012,5524291
1,9,1761,1045,2.709,0.009,6709069
1,10,1758,1036,1.224,0.004,10400350
1,11,1764,990,5.984,0.02,6778430
1,12,1758,950,5.218,0.017,9407100
1,13,1758,902,6.192,0.021,5990713
1,14,1755,865,4.789,0.016,6846022
1,15,1758,825,5.174,0.017,10462588
1,16,1749,798,3.671,0.012,3951130
1,17,1752,801,0.547,0.002,6583883
1,18,1752,801,0,0,10334344
1,19,1752,801,0,0,12044964
1,20,1752,801,0,0,12044964
1,21,1752,801,0,0,12044964
1,22,1752,801,0,0,11979171
1,23,1752,801,0,0,11979171
1,24,1752,801,0,0,12110757
1,25,1752,801,0,0,10661012
1,26,1752,801,0,0,10661012
1,27,1752,801,0,0,11976872
1,28,1752,801,0,0,11976872
1,29,1752,801,0,0,13358525
1,30,1752,801,0,0,14477006
1,31,1752,801,0,0,12634802
1,32,1752,801,0,0,14477006
1,33,1752,801,0,0,15529694
1,34,1764,795,1.731,0.006,6710089
1,35,1764,795,0,0,7499605
1,36,1764,795,0,0,7038804
1,37,1764,795,0,0,7300429
1,38,1764,795,0,0,11905939
1,39,1764,795,0,0,14866624
1,40,1764,795,0,0,14471866
1,41,1764,795,0,0,10392700
1,42,1764,804,1.161,0.004,8487254
1,43,1764,804,0,0,4275480
1,44,1764,804,0,0,4406555
1,45,1764,804,0,0,10195573
1,46,1752,813,1.935,0.006,14871762
1,47,1752,813,0,0,14805969
1,48,1752,813,0,0,13819328
1,49,1752,813,0,0,11383692
1,50,1752,813,0,0,8686179
1,51,1758,819,1.095,0.004,4674871
1,52,1758,819,0,0,4608560
1,53,1758,819,0,0,4937010
1,54,1758,819,0,0,5857340
1,55,1758,819,0,0,7172686
1,56,1758,819,0,0,8291167
1,57,1758,819,0,0,8291167
1,58,1758,819,0,0,8159581
1,59,1758,819,0,0,9409648
1,60,1758,819,0,0,10593922
1,61,1758,819,0,0,14345420
1,62,1758,819,0,0,14213834
1,63,1758,819,0,0,15595487
1,64,1758,819,0,0,15266522
1,65,1758,819,0,0,13094308
1,66,1758,819,0,0,14082235
1,67,1758,819,0,0,12765095
1,68,1758,819,0,0,12699812
1,69,1758,819,0,0,11054475
1,70,1758,819,0,0,9015910
1,71,1758,819,0,0,6712641
1,72,1758,819,0,0,5660465
1,73,1758,819,0,0,5069361
1,74,1758,819,0,0,5069361
1,75,1758,819,0,0,5001267
1,76,1758,819,0,0,5001267
1,77,1758,822,0.387,0.001,7238483
1,78,1758,822,0,0,6976591
1,79,1758,822,0,0,7567962
1,80,1758,822,0,0,6910800
1,81,1758,822,0,0,6910800
1,82,1758,822,0,0,6910800
1,83,1758,822,0,0,7172950
1,84,1758,822,0,0,7172950
1,85,1758,822,0,0,6451014
1,86,1758,822,0,0,6451014
1,87,1758,822,0,0,7302739
1,88,1758,822,0,0,7302739
1,89,1758,822,0,0,6513223
1,90,1758,822,0,0,6315846
1,91,1761,822,0.387,0.001,14010813
1,92,1761,822,0,0,14143678
1,93,1761,822,0,0,14143678
1,94,1761,822,0,0,14143678
1,95,1761,822,0,0,12695469
1,96,1761,822,0,0,12695469
1,97,1752,850,3.794,0.013,10596973
1,98,1752,850,0,0,10202215
1,99,1752,847,0.387,0.001,1846547
1,100,1752,847,0,0,1846547
1,101,1752,844,0.387,0.001,5267783
1,102,1752,844,0,0,5267783
1,103,1752,844,0,0,5267783
1,104,1752,844,0,0,5267783
1,105,1752,844,0,0,5070404
1,106,1752,844,0,0,4083509
1,107,1752,844,0,0,4083509
1,108,1752,844,0,0,4017716
1,109,1752,844,0,0,4410677
1,110,1752,844,0,0,4344884
1,111,1752,844,0,0,4344884
1,112,1752,844,0,0,4344884
1,113,1752,844,0,0,4673849
1,114,1752,844,0,0,4082214
1,115,1752,844,0,0,4082214
1,116,1752,844,0,0,3424284
1,117,1755,841,0.547,0.002,3226403
1,118,1758,841,0.387,0.001,2568977
1,119,1758,841,0,0,2700811
1,120,1758,841,0,0,2766354
1,121,1758,841,0,0,3226403
1,122,1758,841,0,0,3423782
1,123,1758,841,0,0,3423782
1,124,1758,841,0,0,3226403
1,125,1758,841,0,0,3489575
1,126,1758,841,0,0,3226653
1,127,1758,841,0,0,3884331
1,128,1758,847,0.774,0.003,13293986
1,129,1758,847,0,0,12964773
1,130,1758,847,0,0,13885875
1,131,1758,847,0,0,13359025
1,132,1758,847,0,0,12372130
1,133,1758,847,0,0,11976872
1,134,1758,847,0,0,10661503
1,135,1758,847,0,0,10989966
1,136,1758,847,0,0,9871485
1,137,1758,847,0,0,9871485
1,138,1758,847,0,0,7766109
1,139,1758,847,0,0,7766109
1,140,1758,847,0,0,6976593
1,141,1758,847,0,0,4541482
1,142,1752,847,0.774,0.003,3029024
1,143,1752,847,0,0,3884333
1,144,1752,847,0,0,3752747
1,145,1752,847,0,0,1908746
1,146,1752,850,0.387,0.001,1912342
1,147,1755,850,0.387,0.001,10925729
1,148,1755,850,0,0,10925729
1,149,1755,850,0,0,8292982
